id,pose_name,sanskrit_name,category,difficulty_level,benefits,contraindications,breathing_pattern,duration_or_reps,modifications,instructions
26,Forearm Stand,Pincha Mayurasana,inversion,advanced,"Forearm Stand (Pincha Mayurasana) strengthens the arms, shoulders, and upper back, while also improving balance, focus, and overall inversion practice. It can also help to stretch and open the chest and shoulders. Additionally, this pose can be calming and meditative, promoting mental clarity and calmness.","Avoid Forearm Stand if you have any shoulder, neck, or wrist injuries, or if you have high blood pressure or are experiencing dizziness. Pregnant women and people with glaucoma should also avoid this pose.","Inhale as you lift your legs up, and exhale as you balance and settle into the pose. Continue to breathe deeply and smoothly, engaging your core and maintaining stability.","Hold Forearm Stand for 3-5 breaths, or for 30 seconds to 1 minute, depending on your level of comfort and control.","You can modify Forearm Stand by using a wall for support, or by practicing Dolphin Pose (Ardha Pincha Mayurasana) instead, which involves keeping your hips and legs on the ground. You can also use a block or a strap to support your forearms or shoulders.","1. Start in a tabletop position on your hands and knees, with your forearms parallel to each other and your elbows directly under your shoulders. 2. Engage your core and lift your hips up and back, straightening your arms and legs as much as possible. 3. Walk your feet forward and lift your legs up, balancing on your forearms and keeping your body in a straight line from head to heels. 4. Look forward and down, engaging your core and maintaining control and balance."
27,Bridge Pose,Setu Bandha Sarvangasana,backbend,beginner,"Bridge Pose strengthens the back muscles, opens the chest, and can help alleviate stress and anxiety by releasing tension in the neck and shoulders. It also stretches the hips and thighs, improving flexibility and mobility. Regular practice of Setu Bandha Sarvangasana can also improve posture and balance.","Bridge Pose should be avoided by individuals with neck injuries or chronic neck pain, as well as those with severe back conditions such as herniated discs or spinal fractures. Pregnant women and those with high blood pressure should also approach with caution and modify the pose as needed.","Inhale and slowly lift the hips towards the ceiling, squeezing the glutes and lower back muscles. Exhale and slowly lower the hips back down to the starting position.","Hold the pose for 3-5 breaths, repeating for 2-3 sets.","For a more gentle variation, place a block or strap under the hips for support. For a deeper stretch, lift the heels off the ground and balance on the shoulders and upper back. You can also use a wall for support, with the shoulders and upper back against the wall and the hips lifted.","1. Lie on your back with your knees bent and feet hip-width apart, with your arms at your sides. 2. Inhale and slowly lift your hips towards the ceiling, squeezing your glutes and lower back muscles. 3. As you lift, press your shoulders and upper back into the ground, keeping your chest open and expanded. 4. Hold the pose at the top, engaging your core and maintaining a smooth, steady breath. 5. Exhale and slowly lower your hips back down to the starting position."
28,Wheel Pose,Urdhva Dhanurasana,backbend,intermediate,"Wheel Pose strengthens the back muscles, opens the chest, and improves flexibility in the shoulders and upper back. It also stretches the abdomen and hips, while invigorating the entire body. Mentally, it can help build confidence and reduce stress.","Avoid Wheel Pose if you have any neck or back injuries, or if you experience high blood pressure or are pregnant. It's also not recommended for those with severe shoulder or wrist issues.","Inhale as you lift your hips off the ground, and exhale as you slowly lower back down. Take deep, steady breaths while holding the pose.","Hold Wheel Pose for 3-5 breaths, or 15-30 seconds, and repeat 2-3 times.","For a gentler version, try using blocks under your hands or a strap around your upper back for support. You can also start in a modified Wheel Pose on your knees instead of your feet.","1. Lie on your back with your knees bent and feet flat on the ground, hip-width apart. 2. Place your hands under your shoulders with your fingers spread wide, and slowly lift your hips off the ground, squeezing your glutes and pushing through your heels. 3. As you lift, straighten your arms and lift your chest, keeping your shoulders down and away from your ears. 4. Hold the pose, taking deep breaths, and then slowly lower back down to the starting position."
29,Cobra Pose,Bhujangasana,backbend,beginner,"Cobra Pose (Bhujangasana) strengthens the back muscles, opens the chest, and improves flexibility in the shoulders. It also helps to alleviate symptoms of stress, anxiety, and fatigue. Regular practice of this pose can also improve posture and reduce the risk of back pain.","Avoid Cobra Pose if you have a neck or back injury, or if you have had recent surgery. Pregnant women should also avoid deep backbends, especially in the later stages of pregnancy.","Inhale and press your palms into the ground, lifting your chest and head off the mat. Hold for a breath, then exhale slowly, maintaining the lift and feeling the stretch in your chest and shoulders.","Hold Cobra Pose for 3-5 breaths, or 15-30 seconds. Repeat 2-3 times.","For a gentler version, place a block or strap under your forehead for support. You can also lift your chest and head only a few inches off the ground, or practice Sphinx Pose (Salamba Bhujangasana) with forearms on the ground for added support.","Step 1: Lie on your stomach with your hands under your shoulders, fingers spread wide. Step 2: Inhale and press your palms into the ground, lifting your chest and head off the mat. Step 3: Keep your shoulders down and away from your ears, and engage your back muscles to support your lift. Step 4: Gaze forward and slightly upwards, keeping your neck long. Step 5: Hold the pose, feeling the stretch and strength in your back and chest."
30,Cat-Cow Pose,Marjaryasana-Bitilasana,backbend,beginner,"Cat-Cow Pose combines the benefits of stretching, strengthening, and mobility, improving flexibility in the spine and neck while also toning the abdominal muscles. It also helps to relieve stress and anxiety by promoting relaxation and calming the mind. Regular practice can improve posture and balance as well.","Avoid Cat-Cow Pose if you have any recent neck or spine injuries, or if you experience severe pain or discomfort in the neck, back, or head during the pose. Pregnant women should also approach this pose with caution and consider modifications.","Inhale as you arch your back and lift your head and tailbone (Cow Pose), and exhale as you round your back and tuck your chin to your chest (Cat Pose). Continue this flow of breath, moving slowly and smoothly between the two poses.","Hold each pose for a brief moment, moving slowly through 5-10 repetitions. As you become more comfortable with the movement, you can increase the number of repetitions.","For a more gentle variation, you can try practicing Cat-Cow Pose on your hands and knees, with your knees slightly apart and your hands under your shoulders. You can also use a block or a strap to support your neck and back if needed.","1. Start on your hands and knees, with your knees directly under your hips and your hands directly under your shoulders. Engage your core and keep your spine long. 2. As you inhale, arch your back and lift your head and tailbone towards the ceiling, moving into Cow Pose. Keep your arms straight and your shoulders down. 3. As you exhale, round your back and tuck your chin to your chest, moving into Cat Pose. Keep your shoulders down and your arms straight, and avoid putting too much pressure on your neck and head. Continue moving slowly between the two poses, following your breath."
31,Standing Forward Fold,Uttanasana,forward_fold,beginner,"Uttanasana stretches the entire back side of the body, from the shoulders to the heels, and can help to relieve stress and calm the mind. Regular practice can also improve flexibility, balance, and posture. Additionally, this pose can help to lengthen the spine and promote a sense of grounding and relaxation.","Avoid Uttanasana if you have a recent back injury, severe sciatica, or glaucoma. Pregnant women should also approach this pose with caution and modify as needed.","Inhale: Lengthen the spine and engage the core. Exhale: Fold forward, reaching for the toes or shins, and release any tension in the neck and shoulders.","Hold for 3-5 breaths, feeling the stretch and release with each inhale and exhale.","For a more accessible version, bend the knees slightly or place the hands on blocks or the shins instead of the toes. You can also use a strap to deepen the stretch or support the back.","Step 1: Stand with the feet hip-width apart and parallel to each other, engaging the core and lengthening the spine. Step 2: Inhale and lengthen the spine, feeling the crown of the head reach towards the ceiling. Step 3: Exhale and fold forward, reaching for the toes or shins, and allowing the arms to dangle. Step 4: Keep the knees slightly bent if necessary, and engage the core to support the back. Step 5: Release any tension in the neck and shoulders, and breathe deeply into the stretch."
32,Plow Pose,Halasana,forward_fold,intermediate,"Plow Pose (Halasana) stretches the neck and shoulders, relieving tension and stress. It also stimulates the thyroid gland, improving metabolism and hormonal balance. Regular practice can help alleviate symptoms of insomnia, anxiety, and depression.","Avoid this pose if you have a neck injury, high blood pressure, or glaucoma, as it can exacerbate these conditions. Pregnant women should also avoid this pose, especially in the later stages of pregnancy.","Inhale deeply as you lift your legs overhead, and exhale slowly as you lower them behind your head, keeping your breath steady and calm throughout the pose.","Hold the pose for 3-5 breaths, or 30 seconds to 1 minute, working up to longer holds as you build flexibility and comfort.","For a more accessible version, use a block or strap to support your legs, or practice a modified plow with your legs bent at a 90-degree angle. You can also use a wall for support and stability.","1. Start by lying on your back with your arms at your sides and your legs straight. Inhale and lift your legs off the ground, keeping them straight. 2. As you exhale, slowly lower your legs behind your head, keeping your shoulders and chest relaxed. 3. Continue to lower your legs until your toes touch the ground behind your head, or as far as is comfortable for you. 4. Take a few deep breaths, feeling the stretch in your neck and shoulders, and slowly lift your legs back up to the starting position."
33,Marichyasana,Marichyasana,twist,beginner,"Marichyasana is a beginner-friendly twist that provides physical benefits by stretching the spine, hips, and torso, improving flexibility and posture. Mentally, it helps calm the nervous system and reduces stress. It also prepares the body for more advanced twists and seated postures.","Avoid Marichyasana if you have a herniated disk, sciatica, or knee injuries. Pregnant women should also approach with caution and modify the pose or consult a teacher.","Inhale to lengthen the spine, exhale to twist the torso and bring the hand to the knee or ankle.","Hold the pose for 3-5 breaths on each side, repeat for 2-3 sets.","For a gentler twist, keep the back leg straight instead of bending it. Use a block or strap to assist with reaching the hand to the knee or ankle.","1. Start by sitting on the floor with the legs extended in front of you. Bend the right knee and place the foot on the ground beside the left thigh. 2. Inhale and lengthen the spine, then exhale and twist the torso to the right, bringing the right hand to the right knee or ankle. 3. Keep the left leg extended and the foot flexed, or bend the left knee and bring the foot towards the right hip for a deeper twist. 4. Gaze forward or to the right, keeping the neck long and relaxed."
34,Seated Forward Fold with a Twist,Bharadvajasana III,twist,intermediate,"Bharadvajasana III, or Seated Forward Fold with a Twist, stretches the spine, hips, and torso, while also stimulating digestion and relieving stress and anxiety. Regular practice can improve flexibility, balance, and overall well-being. It also helps to calm the mind and promote a sense of inner peace.","Avoid this pose if you have a severe back injury, herniated disc, or recent abdominal surgery. Pregnant women should also modify or avoid this pose, especially in the later stages of pregnancy.","Inhale as you lengthen the spine and prepare for the twist. Exhale as you fold forward and twist, allowing the body to release and relax. Continue to breathe deeply and naturally while holding the pose.","Hold the pose for 3-5 breaths, then release and repeat on the other side. You can also practice 2-3 repetitions on each side, holding for a shorter duration.","For a gentler version, use a block or strap to support the forward bend, or place a bolster or pillow under the forehead for support. You can also practice a seated forward fold without the twist, or use a wall for support.","1. Start by sitting on the floor with your legs straight out in front of you. Cross your right foot over your left, so that your right knee is bent and your right foot is on the outside of your left thigh. 2. Lengthen your spine and inhale, then exhale and fold forward, reaching for your left ankle or shin. 3. As you fold forward, twist your torso to the right, keeping your hips facing forward. 4. Hold the pose, breathing deeply and naturally, then release and repeat on the other side."
35,Sphinx Pose,Salamba Bhujangasana,restorative,beginner,"The Sphinx Pose provides physical benefits by strengthening the back muscles, opening the chest, and improving flexibility in the shoulders and upper back. It also provides mental benefits by promoting relaxation, reducing stress, and calming the mind. Additionally, this pose can help alleviate symptoms of anxiety and depression.","Avoid the Sphinx Pose if you have any neck or back injuries, or if you experience discomfort or pain in these areas. It is also recommended to avoid this pose if you have any recent or chronic shoulder injuries.","Inhale deeply, feeling the chest expand and the shoulders relax. Exhale slowly, allowing the body to release any tension or stress.","Hold the Sphinx Pose for 3-5 minutes, breathing deeply and slowly, and repeat as needed.","For a more accessible version, place a block or bolster under the chest for support. You can also use a folded blanket or towel under the forearms for added comfort. If you experience any discomfort in the neck or back, modify the pose by lifting the arms or using a prop under the forehead.","Lie on your stomach with your forearms on the ground and your elbows directly under your shoulders. Press your palms into the ground and lift your chest and head off the mat, keeping your shoulders down and away from your ears. Slowly lift your chest and head higher, keeping your neck long and your shoulders relaxed, and gaze forward or slightly upwards."
36,Child's Pose,Balasana,restorative,beginner,"Child's Pose (Balasana) offers numerous physical and mental benefits, including relaxation, stress relief, and flexibility in the back and hips. It also helps to calm the mind and promote a sense of grounding and calmness. Regular practice of this pose can improve overall well-being and reduce anxiety.","Avoid practicing Child's Pose if you have any knee injuries or severe back problems, as it may put pressure on these areas. Pregnant women should also modify the pose or avoid it altogether, especially in the later stages of pregnancy.","Inhale deeply, filling your lungs with air, and exhale slowly, releasing any tension or stress. Continue to breathe naturally, focusing on the sensation of the breath moving in and out of the body.","Hold Child's Pose for 5-10 breaths or 1-3 minutes, depending on your comfort level and the needs of your practice.","To modify Child's Pose, you can use a block or pillow under your forehead or knees for extra support. You can also bring your knees wider apart or keep your arms at your sides instead of extending them out in front of you.","1. Start on your hands and knees (tabletop position), with your wrists directly under your shoulders and your knees under your hips. 2. As you exhale, slowly lower your hips back towards your heels, stretching your arms out in front of you and lowering your forehead to the ground. 3. Allow your body to relax, feeling the weight of your torso supported by your arms and the ground. 4. Continue to breathe deeply, feeling the calmness and relaxation spread through your body."
37,Reclined Pigeon Pose,Supta Eka Pada Rajakapotasana,restorative,intermediate,"Reclined Pigeon Pose helps to release tension in the hips, glutes, and lower back, promoting flexibility and relaxation. This pose also calms the mind and reduces stress and anxiety. Regular practice can improve overall hip mobility and balance.","Avoid Reclined Pigeon Pose if you have any knee injuries or issues, or if you experience discomfort or pain in the hips or lower back. Pregnant women should also modify or avoid this pose, especially in the later stages of pregnancy.","Inhale deeply into the chest, feeling the body relax and the hips release. Exhale slowly, allowing the body to sink deeper into the pose and release any tension.","Hold Reclined Pigeon Pose for 3-5 minutes on each side, or as long as feels comfortable and relaxing. You can repeat on the other side.","Use a block or strap under the knee for support and to reduce pressure on the joints. For a deeper stretch, bring the back leg closer to the chest or use a bolster under the torso for added support.","1. Begin by lying on your back and bringing one knee into your chest. Place your hand on the knee and gently rock it from side to side, releasing any tension in the hips. 2. Allow the knee to fall to one side, keeping the ankle towards the opposite hip. Bring your arm across your body and hold the knee or ankle for support. 3. Inhale deeply and as you exhale, allow your body to relax and release into the pose, feeling the stretch in the hips and glutes. 4. Hold the pose for 3-5 minutes, breathing deeply and relaxing the body. 5. To release, slowly bring the knee back to the center and repeat on the other side."
38,Reclined Spinal Twist,Supta Matsyendrasana,restorative,intermediate,"Reclined Spinal Twist (Supta Matsyendrasana) provides physical benefits by stretching the spine, hips, and torso, while also relieving tension in the lower back. Mentally, it calms the nervous system, promoting relaxation and reducing stress. Regular practice can also improve flexibility and range of motion.","Avoid this pose if you have any recent spinal injuries, severe back problems, or are experiencing pregnancy complications. It is also not recommended for people with sciatica or herniated discs.","Inhale deeply and lengthen the spine, exhale slowly and gently twist to one side, keeping the hips grounded. Inhale to return to the center, exhale to twist to the other side.","Hold the pose for 3-5 minutes on each side, breathing deeply and smoothly. You can also repeat the sequence 2-3 times, resting in between.","For a gentler variation, use a block or strap to support the knee, or place a folded blanket under the spine for extra comfort. You can also use a bolster or pillow to support the torso and hips.","Step 1: Lie on your back with your knees bent and feet flat on the ground. Step 2: Let your knees fall to one side, keeping your spine long and your hips grounded. Step 3: Use your hand to gently guide your knee and deepen the twist, keeping your shoulders relaxed and down. Step 4: Hold the pose and breathe deeply, feeling the stretch in your spine and hips. Step 5: Slowly return to the center and repeat on the other side."
39,Reclined Hero Pose,Supta Virasana,restorative,beginner,"Reclined Hero Pose (Supta Virasana) is a restorative yoga pose that offers numerous physical and mental benefits, including stretching and releasing tension in the back, hips, and knees, while also promoting relaxation, reducing stress, and calming the mind. Regular practice can also improve flexibility, balance, and overall well-being. Additionally, this pose can help alleviate symptoms of sciatica and lower back pain.","Avoid Reclined Hero Pose if you have knee injuries, severe back pain, or are in the later stages of pregnancy. If you have any underlying medical conditions, consult with your healthcare provider or a qualified yoga instructor before practicing this pose.","Inhale deeply, feeling the chest expand and the body relax. Exhale slowly, releasing any tension or stress. Continue to breathe naturally, focusing on the sensation of the breath moving in and out of the body.","Hold Reclined Hero Pose for 5-10 minutes, or as long as feels comfortable. If you're new to this pose, start with 3-5 minutes and gradually increase the duration as you become more comfortable.","For a more accessible version of the pose, place a block or strap under the back for support, or use a bolster or pillow under the knees to reduce strain. You can also practice this pose with the legs bent and feet on the ground, rather than extended behind you.","1. Begin by kneeling on the ground with your shins parallel to each other. Take a deep breath in, and as you exhale, slowly lower your back onto the ground, keeping your knees bent at a 90-degree angle. 2. Extend your legs behind you, keeping them straight, and allow your body to relax into the pose. 3. Place your arms at your sides, palms facing up, and allow your body to surrender into the support of the ground. 4. Close your eyes and focus on your breath, feeling the body relax and release tension with each exhalation."
40,Upward-Facing Dog,Urdhva Mukha Svanasana,standing,intermediate,"Upward-Facing Dog strengthens the back muscles, opens the chest, and improves flexibility in the shoulders and upper back. It also helps to stretch the abdomen and can improve digestion. Mentally, this pose can help increase energy and confidence.","Avoid Upward-Facing Dog if you have a recent wrist injury, or if you have a condition such as carpal tunnel syndrome, as it can put pressure on the wrists. People with severe back injuries or conditions should also approach with caution.","Inhale as you lift your chest and head off the ground, and exhale as you slowly lower back down into the starting position.","Hold Upward-Facing Dog for 3-5 breaths, or as long as feels comfortable, and repeat 3-5 times.","For a modification, try Cobra Pose (Bhujangasana) instead, which is a similar pose but with the forearms on the ground and the chest lifted. You can also use a block or strap under the hands to reduce pressure on the wrists.","1. Start in a high plank position with your hands shoulder-width apart and your fingers spread wide. 2. Inhale and slowly lift your chest and head off the ground, keeping your shoulders down and away from your ears. 3. Press your palms into the ground and use your arm strength to lift your torso, keeping your legs straight and your hips lifted. 4. Continue to breathe deeply and maintain the pose, feeling the opening in your chest and the engagement in your back muscles."
41,Eight-Limbed Pose,Astavakrasana,standing,advanced,"Astavakrasana, or Eight-Limbed Pose, is an advanced yoga pose that offers numerous physical benefits, including stretching and strengthening of the hips, legs, and spine, while also improving balance and flexibility. Mentally, this pose cultivates focus, concentration, and self-awareness. Regular practice of Astavakrasana can also enhance overall physical and mental well-being.","Astavakrasana is not recommended for individuals with injuries or conditions affecting the hips, knees, or ankles. Pregnant women and people with back problems should also avoid this pose or modify it under the guidance of a qualified yoga instructor.","Inhale and lengthen the spine. Exhale and twist, folding the right leg and arm across the body. Inhale and lift, maintaining the balance. Exhale and slowly release the pose, repeating on the other side.","Hold Astavakrasana for 3-5 breaths on each side, repeating the sequence 2-3 times.","For a modified version, practice the pose with a block or a strap under the lifted leg for support. Alternatively, use a wall for balance and stability. Beginners can also practice a simplified version by lifting only the leg and keeping the arm on the ground.","1. Start in a standing position with your feet hip-width apart, then bend your right knee and cross your right leg over your left, creating a twisted stance. 2. Reach your right arm across your body and place your hand on the ground beside your left knee, using it as a support for balance. 3. Inhale, lengthen your spine, and exhale, folding your torso and lifting your left leg off the ground. 4. Balance in Astavakrasana, engaging your core and maintaining focus, before slowly releasing the pose and repeating on the other side."
42,One-Legged Downward-Facing Dog,Eka Pada Adho Mukha Svanasana,standing,intermediate,"One-Legged Downward-Facing Dog stretches the entire back side of the body, from the shoulders to the heels, while also strengthening the arms, shoulders, and core. It can also help to improve balance and focus. Regular practice can also reduce stress and anxiety by calming the mind.","Avoid this pose if you have any shoulder, wrist, or knee injuries, or if you are experiencing high blood pressure or dizziness. Pregnant women should also modify or avoid this pose after the first trimester.","Inhale: Lengthen the spine and lift the leg. Exhale: Fold forward and deepen the stretch. Continue to breathe naturally, feeling the stretch and balance in the body.","Hold for 3-5 breaths on each side, repeating for 2-3 sets.","For beginners or those with flexibility limitations, use a block or strap under the hands to reduce the stretch. You can also modify by keeping the knee slightly bent or using a wall for support. For a deeper stretch, lift the back leg higher or use a strap to deepen the stretch.","1. Begin in Downward-Facing Dog (Adho Mukha Svanasana), with your hands shoulder-width apart and your feet hip-width apart. 2. Lift your right leg off the ground, keeping it straight and engaging your core to support the lift. 3. Continue to reach your arms and lift your leg, feeling the stretch in your entire back side. 4. Hold for 3-5 breaths, then slowly lower your leg and repeat on the other side."
43,Bound Angle Pose,Baddha Konasana,seated,beginner,"Bound Angle Pose (Baddha Konasana) offers physical benefits such as stretching the hips, thighs, and knees, and relieving sciatica pain. Mentally, it promotes relaxation, calmness, and focus. It also prepares the body for meditation and pranayama practices.","Avoid this pose if you have a knee injury, recent hip or pelvic surgery, or severe sciatica. Also, pregnant women should practice a modified version with support.","Inhale: lengthen the spine. Exhale: fold forward, stretching the back and hips.","Hold the pose for 3-5 minutes, breathing deeply, or repeat for 3-5 repetitions, holding each time for 30 seconds to a minute.","For a modified version, place a block or a strap under the knees or use a blanket to support the back. You can also practice with the back against a wall for additional support.","Step 1: Sit on the floor with your legs extended in front of you. Step 2: Bend your knees and bring the soles of your feet together, allowing your knees to drop apart. Step 3: Lengthen your spine, inhale deeply, and exhale, folding forward, reaching for your toes or shins. Step 4: Hold the pose, breathing deeply, and focus on the stretch in your hips and thighs."
44,Seated Forward Bend with a Twist,Bharadvajasana III,seated,intermediate,"Seated Forward Bend with a Twist (Bharadvajasana III) offers numerous physical and mental benefits, including stretching the hips, thighs, and spine, relieving tension in the neck and shoulders, and promoting relaxation and focus. Regular practice can also improve flexibility, balance, and overall posture. Additionally, this pose can help calm the mind and prepare for meditation.","This pose is not recommended for individuals with severe neck or back injuries, herniated disks, or recent spinal surgery. Pregnant women should also modify or avoid this pose, especially in the later stages of pregnancy.","Inhale: Lengthen the spine, engage the core, and twist to the right (or left). Exhale: Deepen the twist, stretching the shoulders and chest. Hold the breath for a few seconds, then inhale to release.","Hold the pose for 3-5 breaths on each side, repeating 2-3 times on each side. Gradually increase the duration as flexibility and comfort allow.","For beginners or those with limited flexibility, use a block or strap to support the forward bend. Place the block or strap under the forehead or hands, allowing for a more gentle stretch. Alternatively, sit on a folded blanket or cushion to elevate the hips and reduce strain on the back.","1. Sit on the ground with your legs extended in front of you, then bend your knees and place your feet on the ground. 2. Twist your torso to the right, placing your right hand on the outside of your left knee. 3. Lengthen your spine, engage your core, and lean forward, stretching your shoulders and chest. 4. Hold the pose, breathing deeply, then release and repeat on the other side."
45,Seated Leg Stretch with a Twist,Akarna Dhanurasana II,seated,intermediate,"Akarna Dhanurasana II, or Seated Leg Stretch with a Twist, offers numerous physical benefits such as stretching the hamstrings, calves, and spine, while also improving flexibility and balance. Mentally, this pose helps to cultivate focus, calmness, and relaxation. Regular practice can also lead to improved circulation and reduced stress levels.","Individuals with sciatica, severe back injuries, or recent spinal surgery should avoid this pose. Additionally, those with knee problems or sensitive joints should approach with caution and modify accordingly.","Inhale as you lengthen your spine and prepare to twist, exhale as you twist and deepen the stretch. Continue to breathe smoothly and naturally while holding the pose.","Hold the pose for 3-5 breaths, then slowly release and repeat on the other side. Aim for 2-3 repetitions on each side, or as feels comfortable for your body.","To make the pose more accessible, use a strap or towel to deepen the stretch or support your extended leg. You can also bend the knee of the extended leg if necessary, or use a block under your hand for support. For a more intense stretch, try lifting the heel of the extended leg off the ground or deepening the twist.","1. Sit on the ground with your legs extended in front of you, then bend your right knee and place your foot on the inner thigh of your left leg. 2. Extend your right arm and reach for your left foot, keeping your spine long and your chest open. 3. Twist your torso to the left, bringing your left hand to your right knee or ankle, and deepen the stretch. 4. Keep your hips grounded and your shoulders relaxed, feeling the stretch in your legs and spine. 5. Hold the pose, breathing smoothly, before slowly releasing and repeating on the other side."
46,Seated Forward Fold with Arms Extended,Paschimottanasana III,seated,intermediate,"Seated Forward Fold with Arms Extended (Paschimottanasana III) stretches the hamstrings, calves, and spine, while also stimulating the digestive system. This pose can help relieve stress and anxiety by releasing tension in the neck and shoulders. It can also improve flexibility and balance.","Avoid this pose if you have any injuries to the back, neck, or knees, or if you experience any discomfort or pain in these areas. Pregnant women should also avoid this pose or modify it with caution.","Inhale: Lengthen the spine and reach the arms forward. Exhale: Fold forward, keeping the arms extended, and lower the torso towards the ground. Continue to breathe deeply and slowly, inhaling to lengthen and exhaling to deepen the stretch.","Hold the pose for 30 seconds to 1 minute, breathing deeply and slowly. Repeat 2-3 times.",Modify the pose by bending the knees if you experience any discomfort in the lower back or if you're unable to reach the ground. Use a strap or towel to deepen the stretch if you're more flexible. You can also place a block or pillow under your forehead for support.,"Step 1: Sit on the ground with your legs extended in front of you. Step 2: Inhale and lengthen your spine, reaching your arms forward and keeping them straight. Step 3: Exhale and fold forward, keeping your arms extended and your palms facing down. Step 4: Lower your torso towards the ground, stretching your hamstrings, calves, and spine. Step 5: Hold the pose and breathe deeply, feeling the stretch and release in your body."
47,Lord of the Dance Pose with a Twist,Natarajasana II,balancing,advanced,"Lord of the Dance Pose with a Twist (Natarajasana II) physically strengthens the ankles, improves balance, and opens the chest and shoulders. Mentally, it cultivates focus, concentration, and a sense of playfulness. Regular practice can also improve overall coordination and poise.","Avoid practicing Natarajasana II if you have any ankle or knee injuries, or if you experience dizziness or lightheadedness. Pregnant women should also modify or avoid this pose, especially in the later stages of pregnancy.","Inhale as you lift your leg and arm, lengthening your spine. Exhale as you twist and deepen the pose, engaging your core and maintaining balance.","Hold Natarajasana II for 3-5 breaths on each side, or repeat for 3-5 repetitions on each side.","Use a block or strap to support your leg if you're struggling to balance. You can also practice with your back to a wall for added support. For a more accessible variation, try lifting only your leg and keeping your arm by your side.","1. Begin by standing on one leg, with the other foot resting on the inner thigh. Engage your core and lengthen your spine. 2. Reach your arms out to the sides, then lift your leg and arm on the same side, keeping them parallel to the ground. 3. Twist your torso, bringing your lifted arm across your body, and gaze over your shoulder. 4. Deepen the pose, maintaining balance and control. 5. Release and repeat on the other side."
48,Warrior II with a Twist,Virabhadrasana II,balancing,intermediate,"Warrior II with a Twist strengthens the legs, hips, and core, while also stretching the chest and shoulders. This pose can improve balance and focus. Mentally, it can help to cultivate confidence and inner strength.",Avoid Warrior II with a Twist if you have any severe knee injuries or chronic low back pain. Pregnant women should also approach this pose with caution.,"Inhale and lengthen the spine. Exhale and twist, keeping the hips and legs stable.","Hold the pose for 3-5 breaths, then release and repeat on the other side.","Use a block or strap to support the lower hand if the stretch is too intense. For a deeper stretch, you can also use a wall for support.","1. Start in a high lunge position with your right foot forward and your left foot back. Bend your right knee and stretch your arms out to the sides, parallel to the ground. 2. Twist your torso to the right, keeping your hips and legs stable. Reach your right hand to the ground beside your right foot, and stretch your left arm up towards the ceiling. 3. Keep your spine long and your chest open, feeling the stretch in your shoulders and chest. Engage your core and maintain balance."
49,Handstand Scorpion Pose,Vrschikasana,inversion,advanced,"Handstand Scorpion Pose (Vrschikasana) offers numerous physical benefits, including strengthening the upper body, improving balance and flexibility, and stretching the chest and shoulders. Additionally, this inversion can help calm the nervous system and reduce stress. It also promotes mental focus, discipline, and self-awareness.","Avoid this pose if you have a history of neck or shoulder injuries, or if you experience high blood pressure, glaucoma, or are pregnant. It's also not recommended for beginners or those with limited upper body strength.","Inhale and lengthen the spine as you kick up into the handstand position. Exhale and slowly lower the torso, keeping the legs straight and the core engaged. Continue to breathe naturally and smoothly, focusing on the sensation of the stretch.","Hold the pose for 3-5 breaths, or as long as you feel comfortable and balanced. Repeat 2-3 times, resting in Child's Pose or Downward-Facing Dog between attempts.","For an easier variation, try using a wall for support or practicing with a shorter scorpion tail (bending the knees instead of keeping the legs straight). You can also use blocks or a strap to deepen the stretch and maintain proper alignment. Beginners can start by practicing handstands against a wall or using an inversion table.","1. Start in a high plank position with your hands shoulder-width apart and your fingers spread wide. Engage your core, straighten your arms, and lift your hips up and back, forming an inverted V shape. 2. Walk your feet forward and lift one leg up towards the ceiling, keeping it straight and your core engaged. 3. Once you feel balanced, slowly lift the other leg up to meet the first, keeping both legs straight and your body in a straight line from head to heels. 4. As you feel more stable, slowly lower your torso and lift your chest, keeping your shoulders down and away from your ears. 5. Hold the pose, focusing on your breath and the sensation of the stretch."
50,Elbow Stand,Urdhva Hastasana,inversion,advanced,"Elbow Stand (Urdhva Hastasana) offers numerous physical and mental benefits. Physically, it strengthens the arms, shoulders, and upper back, while also improving flexibility and balance. Mentally, it cultivates focus, concentration, and inner calm. Regular practice can also help to alleviate stress and anxiety.","Avoid Elbow Stand if you have any neck or shoulder injuries, or if you experience high blood pressure or dizziness. Additionally, pregnant women and individuals with glaucoma or detached retinas should also avoid this pose.","Inhale and exhale deeply and slowly, maintaining a steady flow of breath as you move into and hold the pose. Engage your core and maintain a smooth, controlled breathing pattern.","Hold Elbow Stand for 3-5 breaths, or up to 30 seconds if you're more comfortable. Gradually increase your hold time as you build strength and endurance.","To modify Elbow Stand, you can use a wall for support or place a block under your forearms for added stability. Alternatively, practice Forearm Stand (Pincha Mayurasana) with a leg lift to build strength and control before progressing to Elbow Stand.","1. Start on all fours with your forearms on the ground and your elbows directly under your shoulders. Engage your core and lift your hips up and back, straightening your arms and legs. 2. Walk your feet forward a few inches and lift your heels off the ground, balancing on your forearms and toes. 3. Slowly lift your legs up and back, keeping them straight, and balance on your forearms. 4. Engage your core and maintain a steady breathing pattern, holding the pose for 3-5 breaths."
